,id,Iforest,LOF,FCA,
344,86-NTFS:\Boot\memtest.exe,1,1,1,3
86,0-NTFS:\$MFT,1,1,0,2
87,73635-NTFS:\$Recycle.Bin\S-1-5-21-2232410529-1445159330-2725690660-500\$RU2L112.txt,1,1,0,2
117,87085-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Themes\CachedFiles\CachedImage_1024_768_POS4.jpg,1,1,0,2
120,87132-NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCookies\Y8KFNFMU.txt,1,1,0,2
125,87106-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Themes\CachedFiles\CachedImage_2306_1230_POS4.jpg,1,1,0,2
162,87112-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Beth_Secret.lnk,1,1,0,2
359,29-NTFS:\$Extend\$RmMetadata\$TxfLog,0,1,1,2
411,20479-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Launch Internet Explorer Browser.lnk,1,1,0,2
473,84656-NTFS:\$Extend\$UsnJrnl:$J,1,1,0,2
523,30-NTFS:\$Extend\$RmMetadata\$Txf,0,1,1,2
633,87146-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\590aee7bdd69b59b.customDestinations-ms,1,1,0,2
0,72576-NTFS:\Windows\WinSxS\wow64_microsoft-windows-scripting_31bf3856ad364e35_6.3.9600.16384_none_437b5d7308b1b9ea\cscript.exe,1,0,0,1
1,42396-NTFS:\Windows\WinSxS\amd64_microsoft-windows-tcpip-utility_31bf3856ad364e35_6.3.9600.16384_none_238553b522d52927\finger.exe,1,0,0,1
2,82568-NTFS:\Windows\WinSxS\amd64_microsoft-windows-tabletpc-inputpanel_31bf3856ad364e35_6.3.9600.16384_none_024d75d14b795392\TabTip.exe,1,0,0,1
3,38939-NTFS:\Windows\WinSxS\amd64_microsoft-windows-dedup-service_31bf3856ad364e35_6.3.9600.16399_none_bfb2ea573d6eff90\ddpeval.exe,1,0,0,1
4,84892-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories,0,1,0,1
5,86383-NTFS:\Program Files\VMware\VMware Tools\messages\fr,0,0,1,1
6,32-NTFS:\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf,0,1,0,1
7,81365-NTFS:\Windows\WinSxS\amd64_microsoft-windows-mediaplayer-setup_31bf3856ad364e35_6.3.9600.17031_none_9ee51bd0aa5c2ad3\setup_wm.exe,1,0,0,1
8,73056-NTFS:\Windows\WinSxS\x86_microsoft-windows-snmp-evntwin_31bf3856ad364e35_6.3.9600.16384_none_4b7088982115bdb4\evntwin.exe,1,0,0,1
9,71930-NTFS:\Windows\WinSxS\msil_microsoft.identityserver.proxyservice_31bf3856ad364e35_6.3.9600.16384_none_46e05a81e93b617a\Microsoft.IdentityServer.ProxyService.exe,1,0,0,1
10,85131-NTFS:\Users\Administrator\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy,1,0,0,1
11,80917-NTFS:\Windows\WinSxS\amd64_microsoft-windows-fax-service_31bf3856ad364e35_6.3.9600.16384_none_9de1f9c8544072e5\FXSSVC.exe,1,0,0,1
12,42041-NTFS:\Windows\WinSxS\amd64_microsoft-windows-server-for-nis_31bf3856ad364e35_6.3.9600.16384_none_39b9aedc382f8a1e\nis2ad.exe,1,0,0,1
13,37134-NTFS:\Windows\WinSxS\amd64_clientbackup-restorecd_31bf3856ad364e35_6.3.9600.16384_none_a2f5f88f06574944\RestoreCDInit.exe,1,0,0,1
14,73027-NTFS:\Windows\WinSxS\x86_microsoft-windows-servicingstack_31bf3856ad364e35_6.3.9600.16384_none_9dff25cfe2e40fa2\TiWorker.exe,1,0,0,1
15,82613-NTFS:\Windows\WinSxS\amd64_microsoft-windows-u..onwakesettingflyout_31bf3856ad364e35_6.3.9600.16384_none_9d0baa52b57b04ae\PasswordOnWakeSettingFlyout.exe,1,0,0,1
16,83039-NTFS:\Windows\WinSxS\amd64_vmconnect_31bf3856ad364e35_6.3.9600.16384_none_80f48c741e1554e6\vmconnect.exe,1,0,0,1
17,479-NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\PowerShell\WF\PS\Microsoft.Windows.ServerManagerWorkflows,1,0,0,1
18,84790-NTFS:\Program Files\Common Files\VMware\Drivers\vmci\device,0,0,1,1
19,84409-NTFS:\Windows\WinSxS\wow64_windowssearchengine_31bf3856ad364e35_7.0.9600.16384_none_de0f928be6368663\SearchIndexer.exe,1,0,0,1
20,87120-NTFS:\Users\Administrator\AppData\Local\Microsoft\Terminal Server Client,1,0,0,1
21,86378-NTFS:\Program Files\VMware\VMware Tools\messages,0,0,1,1
22,84306-NTFS:\Windows\WinSxS\wow64_microsoft-windows-m..player-shellpreview_31bf3856ad364e35_6.3.9600.16384_none_bbb0dd8e7b8f291f\wmprph.exe,1,0,0,1
23,84257-NTFS:\Windows\WinSxS\wow64_microsoft-windows-cleanmgr_31bf3856ad364e35_6.3.9600.16384_none_685740be65e399a2\cleanmgr.exe,1,0,0,1
24,81628-NTFS:\Windows\WinSxS\amd64_microsoft-windows-rascmak.resources_31bf3856ad364e35_6.3.9600.16384_en-us_2c05233c00866cf3\cmstp.exe,1,0,0,1
25,81697-NTFS:\Windows\WinSxS\amd64_microsoft-windows-s..e-client-ui-wsreset_31bf3856ad364e35_6.3.9600.16384_none_b7365a02d9f91624\WSReset.exe,1,0,0,1
26,43359-NTFS:\Windows\WinSxS\amd64_productivity-oim_31bf3856ad364e35_6.3.9600.17016_none_32ddadbc60922eec\OIMGettingStartedWizard.exe,1,0,0,1
27,43360-NTFS:\Windows\WinSxS\amd64_productivity-oim_31bf3856ad364e35_6.3.9600.17016_none_32ddadbc60922eec\OIMUninstallWizard.exe,1,0,0,1
28,84512-NTFS:\Windows\WinSxS\x86_microsoft-windows-n..n_service_migreader_31bf3856ad364e35_6.3.9600.16384_none_f939eb5d7acfe238\IasMigReader.exe,1,0,0,1
29,42056-NTFS:\Windows\WinSxS\amd64_microsoft-windows-server-for-nis_31bf3856ad364e35_6.3.9600.16384_none_39b9aedc382f8a1e\ypmatch.exe,1,0,0,1
30,42018-NTFS:\Windows\WinSxS\amd64_microsoft-windows-securestartup-service_31bf3856ad364e35_6.3.9600.16384_none_55641417790e8bb8\BdeUISrv.exe,1,0,0,1
31,42043-NTFS:\Windows\WinSxS\amd64_microsoft-windows-server-for-nis_31bf3856ad364e35_6.3.9600.16384_none_39b9aedc382f8a1e\nisadmin.exe,1,0,0,1
32,82039-NTFS:\Windows\WinSxS\amd64_microsoft-windows-securestartup-cpl_31bf3856ad364e35_6.3.9600.17044_none_486fda955eef188a\BitLockerWizardElev.exe,1,0,0,1
33,81259-NTFS:\Windows\WinSxS\amd64_microsoft-windows-m..player-shellpreview_31bf3856ad364e35_6.3.9600.16384_none_b15c333c472e6724\wmprph.exe,1,0,0,1
34,42389-NTFS:\Windows\WinSxS\amd64_microsoft-windows-taskhost_31bf3856ad364e35_6.3.9600.16384_none_18fd08642e4cdf6d\taskhostex.exe,1,0,0,1
35,42591-NTFS:\Windows\WinSxS\amd64_microsoft-windows-wid_31bf3856ad364e35_6.3.9600.16384_none_986967552fdc62b2\SqlDumper.exe,1,0,0,1
36,40489-NTFS:\Windows\WinSxS\amd64_microsoft-windows-m..essagingcoreservice_31bf3856ad364e35_6.3.9600.16384_none_d3c827c6bc254045\mqbkup.exe,1,0,0,1
37,41749-NTFS:\Windows\WinSxS\amd64_microsoft-windows-remoteassistance-exe_31bf3856ad364e35_6.3.9600.16389_none_281b78a8d5d8536e\sdchange.exe,1,0,0,1
38,20566-NTFS:\Program Files\VMware\VMware Tools,0,0,1,1
39,82040-NTFS:\Windows\WinSxS\amd64_microsoft-windows-securestartup-cpl_31bf3856ad364e35_6.3.9600.16384_none_4844b75f5f0f6622\BitLockerWizardElev.exe,1,0,0,1
40,73110-NTFS:\Windows\WinSxS\x86_microsoft-windows-wmi-snmp-provider_31bf3856ad364e35_6.3.9600.16384_none_3f5b4310e25953b4\smi2smir.exe,1,0,0,1
41,41172-NTFS:\Windows\WinSxS\amd64_microsoft-windows-n..kloadbalancing-core_31bf3856ad364e35_6.3.9600.16384_none_053619d9a536032b\NLB-unattend.exe,1,0,0,1
42,72568-NTFS:\Windows\WinSxS\wow64_microsoft-windows-remoteassistance-exe_31bf3856ad364e35_6.3.9600.16384_none_326b21890a3d96b6\sdchange.exe,1,0,0,1
43,84495-NTFS:\Windows\WinSxS\x86_microsoft-windows-mediaplayer-setup_31bf3856ad364e35_6.3.9600.16384_none_42938e08f2246f2b\unregmp2.exe,1,0,0,1
44,82267-NTFS:\Windows\WinSxS\amd64_microsoft-windows-t..etpc-mathinputpanel_31bf3856ad364e35_6.3.9600.16384_none_bb5fe32324e277e4\mip.exe,1,0,0,1
45,42175-NTFS:\Windows\WinSxS\amd64_microsoft-windows-snmp-evntwin_31bf3856ad364e35_6.3.9600.16384_none_a78f241bd9732eea\evntwin.exe,1,0,0,1
46,43924-NTFS:\Windows\WinSxS\amd64_storage-utility_31bf3856ad364e35_6.3.9600.16520_none_581cc258dfc37007\SuChkVol.exe,1,0,0,1
47,164-NTFS:\Recovery,0,0,1,1
48,83024-NTFS:\Windows\WinSxS\amd64_updateservices-snapin_31bf3856ad364e35_6.3.9600.16384_none_ff51b352162d9f5c\Microsoft.UpdateServices.UI.OOBEWizard.exe,1,0,0,1
49,85091-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\ImplicitAppShortcuts,1,0,0,1
50,39103-NTFS:\Windows\WinSxS\amd64_microsoft-windows-errorreportingfaults_31bf3856ad364e35_6.3.9600.16384_none_60c57cad10c057ad\WerFault.exe,1,0,0,1
51,38249-NTFS:\Windows\WinSxS\amd64_microsoft-windows-d..-commandline-dsdiag_31bf3856ad364e35_6.3.9600.16384_none_3ced6493d2002595\dcdiag.exe,1,0,0,1
52,20564-NTFS:\ProgramData\VMware\VMware Tools\Unity Filters,0,0,1,1
53,39030-NTFS:\Windows\WinSxS\amd64_microsoft-windows-dns-server-service_31bf3856ad364e35_6.3.9600.16384_none_3ec44580aa8b9f7f\dns.exe,1,0,0,1
54,39098-NTFS:\Windows\WinSxS\amd64_microsoft-windows-errorreportingcore_31bf3856ad364e35_6.3.9600.16384_none_11351220d9db425d\wermgr.exe,1,0,0,1
55,81548-NTFS:\Windows\WinSxS\amd64_microsoft-windows-p..ting-tools-printbrm_31bf3856ad364e35_6.3.9600.16384_none_7278887f194b9a3e\PrintBrmUi.exe,1,0,0,1
56,87098-NTFS:\Users\Administrator\AppData\Local\EmieUserList,1,0,0,1
57,73021-NTFS:\Windows\WinSxS\x86_microsoft-windows-servicingstack_31bf3856ad364e35_6.3.9600.16384_none_9dff25cfe2e40fa2\poqexec.exe,1,0,0,1
58,86399-NTFS:\Program Files\VMware\VMware Tools\win64,0,0,1,1
59,38016-NTFS:\Windows\WinSxS\amd64_microsoft-hyper-v-g..t-installer-support_31bf3856ad364e35_6.3.9600.16384_none_607a8fc83c1f7915\WindowsServer2003.WindowsXP-KB943295-x64-ENU.exe,1,0,0,1
60,42719-NTFS:\Windows\WinSxS\amd64_microsoft-windows-wusa_31bf3856ad364e35_6.3.9600.16384_none_9dbef187ec93e1a0\wusa.exe,1,0,0,1
61,39985-NTFS:\Windows\WinSxS\amd64_microsoft-windows-iis-sharedlibraries_31bf3856ad364e35_6.3.9600.17031_none_01dac51388a3a832\iisrstas.exe,1,0,0,1
62,84789-NTFS:\Program Files\Common Files\VMware\Drivers\vmci,0,0,1,1
63,73613-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Protect,1,0,0,1
64,41750-NTFS:\Windows\WinSxS\amd64_microsoft-windows-remoteassistance-exe_31bf3856ad364e35_6.3.9600.16384_none_28167736d5dcd4bb\sdchange.exe,1,0,0,1
